DIRECTOR,COMPANY, PERCENTAGE OF SHARES
HO CHUNG KAIN,KECK SENG M BHD,
HO DUA TIAM,UNITED PLANTATIONS BHD,0.34
HO HAU CHIEH,NESTLE M BHD,
HO KIAN CHEONG,KECK SENG M BHD,6.85
HO KIAN GUAN,KECK SENG M BHD,6.75
HO KIAN HOCK,KECK SENG M BHD,6.91
HO WAI MING,TAN CHONG MOTOR HOLDINGS BHD,
HUBERT THIAN CHONG HUI,CAHYA MATA SARAWAK BHD,
HUI CHOON KIT,FRASER AND NEAVE HOLDINGS BHD,
IBRAHIM ABDULRAHMAN H KADI,MAXIS BHD,
IBRAHIM MAHALUDIN PUTEH,POS MALAYSIA BHD,
IBRAHIM MARSIDI,TELEKOM M BHD,
IBRAHIM MARSIDI,UMW OIL AND GAS CORPORATION BHD,
IBRAHIM TAIB,DRB HICOM BHD,
IDRUS ISMAIL,TELEKOM M BHD,
IGNATIUS CHAN TZE CHING,AFFIN HOLDINGS BHD,
IP SING CHI,WESTPORTS M SDN BHD,
ISHAK IMAM ABAS,KLCCP HOLDINGS BHD,
ISMAIL ADAM,BIMB HOLDINGS BHD,
ISMAIL ADAM,SP SETIA BHD GROUP,
ISMAIL ADAM,WESTPORTS M SDN BHD,0.01
ISMAIL FAROUK ABDULLAH,SHANGRI LA HOTELS M BHD,
ISMAIL SHAHUDIN,MAYBANK BANKING BHD,
ISMEE ISMAIL,BIMB HOLDINGS BHD,
ISMEE ISMAIL,FELDA GLOBAL VENTURES HOLDINGS BHD,
ISMEE ISMAIL,TABUNG HAJI,
IZAHAM ABD RANI,MAH SING GROUP BHD,
JAAFAR RIHAN,DIALOG GROUP BHD,
JALILAH BABA,FELDA GLOBAL VENTURES HOLDINGS BHD,
JALILAH BABA,QL RESOURCES BHD,
JALILAH BABA,RHB CAPITAL BHD,
JAMALLULDIN MD ALI ABDUL RAHMAN SULAIMAN,KULIM M BHD,
JAMALUDIN IBRAHIM,AXIATA GROUP BHD,0.08
JAMES RICHARD SUTTIE,BRITISH AMERICAN TOBACCO M BHD,
JASMY ISMAIL,MALAYSIA BUILDING SOCIETY BHD,
JASON LEOW JUAN THONG,CAPITALAND MALAYSIA MALL TRUST ,
JASWANT SINGH KLER,TSH RESOURCES BHD,
JAYANTHI NAIDU G DANASAMY,BERJAYA CORPORATION BHD,
JEAN CLAUDE BLOCK,LAFARGE M BHD,
